	ACC	BLCA	DLBC	UCEC	SKCM	HNSC	PRAD	KIRP	PAAD	SARC	CESC	COAD	LUSC	READ	KIRC	LIHC	BRCA	OV	UCS	GBM	KICH	THCA	LGG	LUAD	MESO	PCPG	TGCT	UVM	THYM	CHOL	ESCA	STAD	LAML
CASP8	8.598790715524482	9.145262059300197	9.184408583385535	9.43155067626519	8.67827102458094	9.089028651598248	8.593974966444186	9.29311627885645	9.270741182531275	8.351199790786383	9.106932886943818	9.64540989090232	9.262093773535916	9.60118753666732	9.46780521610191	8.95268955083099	9.066420399392634	9.88114751867715	8.05909319065841	7.798449653997666	8.427721990061855	8.272149343362639	6.247556711909415	9.676079050206575	9.530263247040036	6.305818414072351	9.242338628882589	7.341096695075139	9.280825687570307	9.448953732579884	9.53118726715028	9.71082388683756	10.639814289362793
RAD50	10.344286550087157	9.892568503788874	9.912140192811481	9.822434460218858	9.522123829953161	10.060336337958523	10.144335485742754	10.04263006874499	10.053925462122592	9.864346411513926	9.768744161970446	10.388252119639157	9.807843910509987	10.394871462447519	10.516775143037048	9.80476593752562	10.537162979723956	10.047563810132036	9.702461685277475	9.541089083293892	10.446640596525585	10.077894446416847	9.8755318829192	9.9893462041116	10.449772360694151	9.717142892344308	9.65882573093672	8.61583321733665	9.689285375315027	10.326373212100105	10.552836962790956	10.500480143495553	10.532377491536502
ACVR1	8.741778093770435	9.066542739997402	7.615000582909563	9.418881977818234	9.749744164780783	9.821587437760783	9.291964375328106	9.937739866236738	10.234369801269688	10.358666231439805	9.326912619626965	9.004559528978962	10.06243431813629	9.01248782956909	9.843681997810698	9.233503308222279	9.764977582600366	9.87263032071255	9.595858644157943	9.461010777644868	9.693603995090852	11.134953293934075	9.256929269191549	10.001414590565865	10.1572969287515	9.946031158540146	9.690916760046761	8.797972153233836	8.42874715467493	10.167000794094697	9.91196943933198	9.709424778046362	8.267520243434372
PIK3R1	10.511407235245139	9.747046191253691	9.699674777287104	11.243753531349732	10.094378834160642	9.73512613034456	10.476876675132347	10.534397006979704	10.316905427055927	10.765020069289598	9.511650043342414	10.164202320374985	10.155871161844495	10.165638824377496	11.014056110775895	11.055532815798882	11.321606527015277	9.855656049167242	10.518057456658505	11.571657574148912	9.722692855284803	10.561914979019692	12.568213973028888	9.936512510132754	10.04605594116422	10.788895956106847	9.05900480853931	8.543400584438762	11.021939573600331	10.358806296183918	10.176485136187422	10.446072831275618	11.684113295329515
PIK3CD	6.3036964439641645	7.853905084836541	11.939326018530766	7.994085951333412	10.678793538484124	9.399466118363787	7.261100338643563	9.17510293068345	8.678022522501708	8.594815188752026	8.67189057880007	7.242999607749058	8.986495453477097	7.177112454965529	9.201623803452659	7.137921740353375	8.190550735497963	8.578555346515907	8.102484287475114	8.249011713189594	7.839713946992627	8.302578529130365	7.80038187723647	9.178533851794501	9.673699305430414	6.930749757023679	10.15012634428053	11.019218083261054	10.605322886401687	7.813185639206117	8.436531961226683	8.307938000779805	11.845633651254644
PDGFRA	7.041470268758874	8.602944265165215	8.3663822653677	8.695704061833505	7.934645524908531	8.876188786268889	8.574094842108563	6.219549348710022	10.87322355208831	10.256320386770293	7.828815942981631	9.423201877656403	9.765366533140059	9.648445624738477	7.467764415560145	7.141705189418438	9.973054977668093	8.695447875900548	10.033969801030064	11.044332490274497	6.922477090588853	6.856182726150336	12.237488468317155	9.850867747851346	9.778540570295123	6.249893658893575	9.19237402980152	4.118940354106761	6.110136946428218	9.180144304664134	9.74004199563943	10.392744467658877	3.2790214795412935
DNMT3A	8.842911125191527	9.377670764519625	8.407678384220869	10.02678708231277	9.235475755070265	8.668562186081807	8.72077307738841	8.547874117232638	8.923061948463188	8.989950605360917	9.290618806723746	8.879130893414438	9.501290706939972	8.995665177240461	8.533636806704536	8.71302906517702	9.254126925592441	9.993831825518441	10.919979479737943	8.61423343856929	8.077849858569314	8.408937305237883	8.060674279247808	9.438234614024564	9.22668146646704	8.468552612984954	11.0210815257663	9.149293280505757	9.900223179402362	9.139262715190121	8.970358887600838	8.847789333169382	10.330218339426711
BCL2L11	8.623159764458059	9.528818237274558	10.592368996594471	9.74307460015392	8.864544909067693	9.464544334529146	9.34436176150592	9.314816827844531	9.428446001451203	9.407447559928716	9.903152037882005	8.978465609983667	9.897165677137192	9.064018090308341	9.66419091926628	9.36521996240436	9.96059416647252	10.061305724095506	9.629345887047576	8.616007908229683	9.533453471942419	9.583966131151609	8.663503931712182	9.629640728730797	9.089328346045852	9.173417967161955	9.360609922528784	7.186442333769939	9.482473203316836	9.888463155139315	9.494417279583299	9.225828608122889	8.584192880329105
CTLA4	1.9349665179595323	4.909566363612478	7.770281492323895	4.187704763738812	5.764915249463756	5.913107699904226	3.816164616835417	2.972932717360012	5.205628440870347	4.0093931920529045	5.6626466332732	4.759345671506897	5.565198294555263	4.755033332058304	4.165773020400165	3.8449908825867127	4.500155106258806	3.835269106482628	3.428399213985131	2.7828674634711312	1.8461012228030504	3.912699106516965	2.1148244380560897	5.8255084925639915	4.806517543396892	2.175993186820272	6.22207615920834	1.1218908628798518	4.525991031924389	4.198117257192617	5.592588455724786	5.852130091485517	4.130611375022089
SETD2	10.266988721387207	10.634010519687948	10.56854100557299	10.832165476151735	10.399030110361709	10.383796326802537	10.944096932906287	10.509601500928877	10.65812134283217	10.667250871396067	10.491671038577783	10.416627179955574	10.320731074316486	10.474908546847487	10.227223406049628	10.379598747722957	10.939694316149556	10.493560069575242	10.62493053820479	10.30318589862259	10.833036429472799	10.975606517758395	10.746640822001446	10.434524509322507	10.17692838422909	10.197007402422756	11.185999943997258	9.442462420204535	10.811751477759527	10.307381955752938	10.986911175360488	10.836461782092183	11.75110366453683
PIK3CA	7.8753359331301755	8.50851012557702	8.18082042041273	8.07118092209952	8.322712355906003	9.185548259466392	8.238530206547702	8.113819452125444	8.643166981600299	8.509918820493292	8.879989459773384	7.966905242327518	9.584868152510722	8.002119024934267	8.858078968966797	7.814461518672174	9.048989239055217	8.890586610014763	8.605952392398269	8.427024072601549	8.578490897494266	8.382155303496717	8.789010432756882	8.586142794542475	8.383989148688933	7.2469054002928015	8.125377851494438	6.630114546934378	8.207045106417192	8.287351341576958	9.530712054413161	8.853460969291852	9.380560738383194
NOTCH2	10.6844266319336	10.823935662853195	10.362397056127243	11.028338212018351	11.964915482676531	11.53205455485243	11.967346986635242	11.652514828029773	11.476035525747365	12.296502798477352	11.367358573515247	10.584493916997877	11.400800192780457	10.6191023857031	11.507431075726146	10.746955965200666	12.34490724646813	12.109597716364053	11.600585739651606	11.652775820606703	9.212420699473446	11.960154509508651	11.78508015282019	11.729944928818092	12.169768338798004	7.960260072548066	10.94583162392564	10.939770813867316	10.917951705465622	11.841399646880184	11.49417276631374	11.147544689750516	12.118911680446065
NRAS	9.220264923784509	10.44624849872046	10.622378414321217	10.434218735044142	10.557823542084703	10.860276961808609	9.655763036267778	10.096586443845425	10.186495862373889	10.11239615196717	10.679695802720722	10.820671497935528	10.850742455863475	10.83442150349222	10.77443119971396	10.367859604203659	10.36683773115645	11.032653037605485	10.92018617936867	10.875696056521942	9.68893482697136	9.683626473685324	10.085280297418509	10.616392981956976	10.220308830010266	8.829883143102428	10.725039026878653	9.075712052272848	10.210580605277343	10.510156183557175	10.935544907901575	10.626600157088678	10.768343712423162
